timestamp,model,prompt_tokens,output_tokens,total_tokens,cost_usd
2025-08-21T03:01:27.472201,gpt-4o-mini,1737,306,2043,0.000444
2025-08-21T03:03:27.145604,gpt-4o-mini,1737,285,2022,0.000432
2025-08-21T03:07:14.832092,gpt-4o-mini,1737,263,2000,0.000418
2025-08-21T03:10:45.906435,gpt-5-nano,1737,0,1737,8.7e-05
2025-08-21T03:12:59.512334,gpt-5-nano,1737,0,1737,8.7e-05
2025-08-21T03:18:32.468766,gpt-4o-mini,1761,273,2034,0.000428
2025-08-21T03:25:36.252456,gpt-4o-mini,1248,339,1587,0.000391
2025-08-21T03:29:38.222283,gpt-4o-mini,1041,319,1360,0.000348
2025-08-21T03:34:59.536000,gpt-4o-mini,1065,281,1346,0.000328
2025-08-21T16:11:14.964495,gpt-4o-mini,473,226,699,0.000207
2025-08-21T16:12:45.358045,gpt-4o-mini,241,204,445,0.000159
2025-08-21T16:24:50.603214,gpt-4o-mini,384,172,556,0.000161
2025-08-21T16:28:56.751031,gpt-4o-mini,394,168,562,0.00016
2025-08-21T16:33:52.485867,gpt-4o-mini,455,164,619,0.000167
2025-08-21T16:35:01.915166,gpt-4o-mini,612,235,847,0.000233
2025-08-21T16:35:51.264963,gpt-4o-mini,612,221,833,0.000224
2025-08-21T16:36:10.563633,gpt-4o-mini,612,221,833,0.000224
2025-08-21T16:41:20.394276,gpt-4o-mini,964,240,1204,0.000289
2025-08-21T16:41:44.481306,gpt-4o-mini,964,256,1220,0.000298
2025-08-21T16:47:11.759143,gpt-4o-mini,519,188,707,0.000191
2025-08-21T21:42:02.471149,gpt-4o-mini,1454,295,1749,0.000395
2025-08-22T02:43:15.025314,gpt-4o-mini,669,232,901,0.00024
2025-08-22T03:17:44.931387,gpt-4o-mini,334,145,479,0.000137
2025-08-22T03:20:04.740756,gpt-4o-mini,381,182,563,0.000166
